
31;Die Zusammenarbeit von Parteien zur Bildung einer Regierung nennt man in Deutschland …;Koalition.
44;Wen kann man als Bürger / Bürgerin in Deutschland nicht direkt wählen?;den Bundespräsidenten / die Bundespräsidentin
52;Was bedeutet „Volkssouveränität“? Alle Staatsgewalt geht vom …;Volke aus.
54;Was ist keine staatliche Gewalt in Deutschland?;Direktive
55;Was zeigt dieses Bild?;den Bundestagssitz in Berlin
57;Wer wird meistens zum Präsidenten / zur Präsidentin des Deutschen Bundestages gewählt?;ein Abgeordneter / eine Abgeordnete der stärksten Fraktion
59;Welche Parteien wurden in Deutschland 2007 zur Partei „Die Linke“?;PDS und WASG
60;In Deutschland gehören der Bundestag und der Bundesrat zur …;Legislative.
32;Was ist keine staatliche Gewalt in Deutschland?;Presse
33;Welche Aussage ist richtig? In Deutschland …;sind Staat und Religionsgemeinschaften voneinander getrennt.
34;Was ist Deutschland nicht?;eine Monarchie
35;Womit finanziert der deutsche Staat die Sozialversicherung?;Sozialabgaben
36;Welche Maßnahme schafft in Deutschland soziale Sicherheit?;die Krankenversicherung
37;Wie werden die Regierungschefs / Regierungschefinnen der meisten Bundesländer in Deutschland genannt?;Ministerpräsident / Ministerpräsidentin
38;Die Bundesrepublik Deutschland ist ein demokratischer und sozialer …;Bundesstaat.
39;Was hat jedes deutsche Bundesland?;eine eigene Regierung
40;Mit welchen Worten beginnt die deutsche Nationalhymne?;Einigkeit und Recht und Freiheit …
41;Warum gibt es in einer Demokratie mehr als eine Partei?;weil dadurch die unterschiedlichen Meinungen der Bürger und Bürgerinnen vertreten werden
42;Wer beschließt in Deutschland ein neues Gesetz?;das Parlament
43;Wann kann in Deutschland eine Partei verboten werden?;wenn sie gegen die Verfassung kämpft
45;Zu welcher Versicherung gehört die Pflegeversicherung?;Sozialversicherung
46;Der deutsche Staat hat viele Aufgaben. Welche Aufgabe gehört dazu?;Er baut Straßen und Schulen.
47;Der deutsche Staat hat viele Aufgaben. Welche Aufgabe gehört nicht dazu?;Er bezahlt für alle Staatsangehörigen Urlaubsreisen.
48;Welches Organ gehört nicht zu den Verfassungsorganen Deutschlands?;die Bürgerversammlung
49;Wer bestimmt in Deutschland die Schulpolitik?;die Bundesländer
50;Die Wirtschaftsform in Deutschland nennt man …;soziale Marktwirtschaft.
51;Zu einem demokratischen Rechtsstaat gehört es nicht, dass …;Menschen von einer Privatpolizei ohne Grund verhaftet werden.
53;Was bedeutet „Rechtsstaat“ in Deutschland?;Der Staat muss die Gesetze einhalten.
